,accuracy_diff_4.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,rank_total,rank_fin
UNC13B.rescaled,5315.5,533.5,5267.5,550.0,303.0,395.0,294.0,313.0,12971.5,0.8941239298547748
KIF4A.rescaled,11804.0,213.5,263.0,371.0,69.0,120.0,115.0,65.0,13020.5,0.8937182268293895
NUFIP1.rescaled,362.5,5268.5,263.0,277.0,2209.0,1541.0,1923.0,1256.0,13100.0,0.8930599943698355
TPX2.rescaled,197.0,5268.5,5267.5,277.0,417.0,340.0,421.0,936.0,13124.0,0.8928612826839325
LMO1.rescaled,362.5,354.5,5267.5,5315.5,466.0,440.0,591.0,367.0,13164.0,0.8925300965407608
PLXNB3.rescaled,5315.5,533.5,5267.5,550.0,169.0,389.0,578.0,380.0,13182.5,0.8923769229495437
HES1.rescaled,5315.5,533.5,354.5,371.0,1095.0,2854.0,984.0,1885.0,13392.5,0.890638195697892
CCNA2.rescaled,118.0,11811.0,524.5,550.0,32.0,24.0,144.0,209.0,13412.5,0.8904726026263061
CACNA1I.rescaled,540.0,354.5,120.5,277.0,2766.0,3422.0,1286.0,4752.0,13518.0,0.8895990991736906
INPP4B.rescaled,264.0,533.5,524.5,206.5,4167.0,3511.0,1739.0,2665.0,13610.5,0.8888332312176058
EPPK1.rescaled,362.5,111.0,263.0,128.5,1937.0,2117.0,4457.0,4291.0,13667.0,0.8883654307903758
SAP30.rescaled,540.0,5268.5,5267.5,550.0,550.0,505.0,479.0,531.0,13691.0,0.8881667191044726
WFIKKN1.rescaled,540.0,533.5,5267.5,550.0,2566.0,1097.0,1565.0,1672.0,13791.0,0.8873387537465433
CCL4L2.rescaled,6.5,4.0,6.0,8.5,4497.0,4778.0,3192.0,1330.0,13822.0,0.8870820844855851
ENO4.rescaled,362.5,533.5,524.5,10462.0,449.0,437.0,516.0,582.0,13866.5,0.8867136399013065
BST2.rescaled,540.0,533.5,354.5,550.0,2592.0,2824.0,3551.0,2939.0,13884.0,0.8865687459636689
DLX1.rescaled,5315.5,354.5,5267.5,550.0,439.0,900.0,501.0,575.0,13902.5,0.8864155723724519
EGFL6.rescaled,540.0,354.5,5267.5,550.0,1817.0,1747.0,1861.0,1858.0,13995.0,0.8856497044163673
CHST1.rescaled,362.5,533.5,5267.5,5315.5,319.0,934.0,623.0,678.0,14033.0,0.885335077580354
CMPK2.rescaled,154.0,213.5,73.0,102.5,1975.0,9830.0,953.0,807.0,14108.0,0.8847141035619069
PBK.rescaled,540.0,188.0,263.0,12455.5,107.0,51.0,439.0,103.0,14146.5,0.8843953368991041
GYG2.rescaled,5315.5,270.5,196.0,5315.5,761.0,786.0,722.0,821.0,14187.5,0.8840558711023531
MAGED4.rescaled,362.5,533.5,524.5,5315.5,2503.0,2247.0,1472.0,1318.0,14276.0,0.8833231217605856
TFCP2L1.rescaled,540.0,533.5,524.5,371.0,2162.0,5065.0,2278.0,2810.0,14284.0,0.8832568845319512
CDKN3.rescaled,264.0,270.5,196.0,65.0,135.0,375.0,12611.0,450.0,14366.5,0.8825738131116594
OR10AD1.rescaled,154.0,90.5,48.0,76.5,1890.0,2137.0,6134.0,3876.0,14406.0,0.8822467667952772
SLC19A3.rescaled,10495.0,533.5,152.0,128.5,1063.0,760.0,888.0,557.0,14577.0,0.880830946033218
NBEA.rescaled,264.0,270.5,354.5,550.0,2615.0,1227.0,5406.0,3954.0,14641.0,0.8803010482041431
UPK3A.rescaled,5315.5,533.5,5267.5,371.0,122.0,2609.0,154.0,398.0,14770.5,0.8792288330656245
SLC22A31.rescaled,362.5,533.5,524.5,371.0,4135.0,1282.0,2585.0,4997.0,14790.5,0.8790632399940387
XRRA1.rescaled,540.0,5268.5,524.5,5315.5,808.0,463.0,992.0,925.0,14836.5,0.8786823759293911
GABRB3.rescaled,5315.5,533.5,524.5,5315.5,836.0,1033.0,685.0,662.0,14905.0,0.8781152196592095
MXD1.rescaled,197.0,5268.5,263.0,5315.5,885.0,1011.0,1052.0,928.0,14920.0,0.87799102485552
ATP8B3.rescaled,362.5,533.5,5267.5,5315.5,900.0,568.0,513.0,1504.0,14964.0,0.8776267200980311
MT3.rescaled,540.0,5268.5,5267.5,371.0,659.0,885.0,919.0,1109.0,15019.0,0.87717133915117
PENK.rescaled,540.0,354.5,196.0,371.0,4027.0,3474.0,4094.0,1970.0,15026.5,0.8771092417493253
DNMT3A.rescaled,5315.5,533.5,524.5,5315.5,752.0,744.0,828.0,1166.0,15179.0,0.8758465945784828
MATN3.rescaled,540.0,5268.5,5267.5,277.0,932.0,843.0,962.0,1143.0,15233.0,0.875399493285201
ORC1.rescaled,264.0,12458.0,524.5,550.0,433.0,834.0,104.0,84.0,15251.5,0.875246319693984
PABPN1L.rescaled,5315.5,533.5,5267.5,371.0,682.0,1340.0,749.0,1122.0,15380.5,0.874178244382255
TUBB3.rescaled,5315.5,533.5,524.5,5315.5,1203.0,685.0,832.0,999.0,15408.0,0.8739505539088245
USP18.rescaled,540.0,533.5,524.5,371.0,1841.0,3542.0,4792.0,3340.0,15484.0,0.8733213002367981
LILRB4.rescaled,540.0,270.5,524.5,10462.0,777.0,787.0,852.0,1341.0,15554.0,0.8727417244862474
DCX.rescaled,362.5,5268.5,524.5,5315.5,1680.0,875.0,804.0,795.0,15625.0,0.8721538690821176
ITIH6.rescaled,154.0,164.0,120.5,550.0,4254.0,4285.0,3534.0,2891.0,15952.5,0.8694422825348987
HMGCLL1.rescaled,76.0,270.5,48.0,158.0,7059.0,2492.0,2279.0,3583.0,15965.5,0.8693346470383679
UNC13A.rescaled,5315.5,354.5,263.0,550.0,3652.0,1794.0,2698.0,1689.0,16316.0,0.8664326284588253
SIGLEC10.rescaled,540.0,5268.5,524.5,5315.5,1392.0,1432.0,1344.0,765.0,16581.5,0.8642343804335226
SLC28A3.rescaled,5315.5,5268.5,524.5,371.0,1754.0,1172.0,998.0,1227.0,16630.5,0.8638286774081372
SLC7A10.rescaled,264.0,354.5,10433.5,58.5,713.0,1140.0,2298.0,1402.0,16663.5,0.8635554488400206
CENPA.rescaled,5315.5,270.5,354.5,10462.0,26.0,155.0,53.0,39.0,16675.5,0.8634560929970689
ACBD7.rescaled,540.0,5268.5,524.5,5315.5,1413.0,508.0,2568.0,555.0,16692.5,0.863315338886221
PAX7.rescaled,362.5,10450.5,354.5,277.0,2796.0,920.0,751.0,838.0,16749.5,0.8628433986322013
ALOX15.rescaled,264.0,213.5,354.5,5315.5,1867.0,2308.0,3316.0,3294.0,16932.5,0.8613282220271904
BCAR3.rescaled,540.0,213.5,524.5,371.0,3604.0,3738.0,4269.0,3778.0,17038.0,0.8604547185745748
ZNF233.rescaled,5315.5,5268.5,5267.5,550.0,280.0,184.0,178.0,242.0,17285.5,0.8584055043136996
SCCPDH.rescaled,5315.5,5268.5,524.5,550.0,1163.0,1456.0,1961.0,1060.0,17298.5,0.8582978688171687
RRM2.rescaled,540.0,5268.5,5267.5,5315.5,267.0,145.0,278.0,275.0,17356.5,0.8578176489095697
HORMAD1.rescaled,540.0,533.5,354.5,550.0,4872.0,3127.0,4583.0,2815.0,17375.0,0.8576644753183527
KBTBD4.rescaled,264.0,354.5,524.5,128.5,8345.0,2246.0,1800.0,3843.0,17505.5,0.8565839805262547
ATP6V0A4.rescaled,118.0,130.0,11785.5,5315.5,51.0,53.0,85.0,35.0,17573.0,0.8560251039096525
