,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
SPESP1.rescaled,397.5,398.5,220.5,272.5,324.0,109.0,184.0,149.0,252.0,575.0,2882.0,0.9814088046155628
ACOT1.rescaled,320.0,266.0,193.0,230.0,191.5,206.0,530.0,538.0,224.0,204.0,2902.5,0.9812732472599228
SYT3.rescaled,397.5,546.0,193.0,272.5,191.5,415.0,210.0,279.0,194.0,250.0,2948.5,0.9809690697789754
MRAP.rescaled,186.5,219.5,260.5,109.5,264.0,331.0,221.0,444.0,665.0,262.0,2963.0,0.9808731877469375
CEP55.rescaled,113.5,136.0,115.5,109.5,60.0,1860.0,58.0,147.0,144.0,307.0,3050.5,0.9802945892777438
ORC1.rescaled,85.5,161.5,74.5,92.5,220.5,545.0,958.0,185.0,514.0,236.0,3072.5,0.9801491130912036
TRAIP.rescaled,320.0,319.0,193.0,550.5,191.5,653.0,85.0,218.0,172.0,401.0,3103.0,0.9799474301962277
AQP7.rescaled,220.5,398.5,407.5,272.5,391.0,177.0,174.0,177.0,756.0,136.0,3110.0,0.979901142318692
HOXC11.rescaled,12.0,147.0,16.0,31.0,49.0,720.0,464.0,1287.0,125.0,264.0,3115.0,0.9798680795490238
ORM2.rescaled,113.5,186.5,193.0,109.5,391.0,212.0,940.0,320.0,123.0,532.0,3120.5,0.9798317105023888
CBX2.rescaled,186.5,319.0,193.0,161.5,220.5,446.0,117.0,178.0,104.0,1216.0,3141.5,0.9796928468697824
TIMELESS.rescaled,45.0,35.5,47.5,21.5,49.0,148.0,688.0,1398.0,598.0,188.0,3218.5,0.9791836802168916
WDR62.rescaled,158.5,219.5,325.0,403.0,220.5,624.0,181.0,828.0,157.0,213.0,3329.5,0.9784496867302576
DNAJC22.rescaled,320.0,161.5,325.0,192.5,264.0,265.0,529.0,343.0,818.0,187.0,3405.0,0.9779504389082674
CHRDL1.rescaled,397.5,319.0,220.5,550.5,537.0,157.0,448.0,354.0,255.0,191.0,3429.5,0.9777884313368932
NCAPG.rescaled,99.5,68.5,135.5,47.5,28.0,551.0,1413.0,557.0,310.0,224.0,3434.0,0.9777586748441917
LRRC10B.rescaled,186.5,266.0,193.0,230.0,114.0,288.0,405.0,768.0,384.0,604.0,3438.5,0.9777289183514905
SKA1.rescaled,261.5,219.5,407.5,192.5,95.5,1228.0,103.0,448.0,353.0,139.0,3447.5,0.9776694053660876
HELLS.rescaled,320.0,266.0,260.5,322.0,324.0,257.0,335.0,439.0,618.0,547.0,3688.5,0.9760757798680796
CCNB2.rescaled,133.5,81.5,88.0,57.5,114.0,366.0,425.0,1057.0,1243.0,130.0,3695.5,0.976029491990544
CKMT1A.rescaled,25.5,16.5,27.0,17.5,22.5,1669.0,196.0,419.0,563.0,750.0,3706.0,0.9759600601742408
VWDE.rescaled,133.5,219.5,193.0,272.5,220.5,683.0,743.0,490.0,380.0,372.0,3707.0,0.9759534476203072
MAD2L1.rescaled,133.5,219.5,135.5,133.0,220.5,382.0,555.0,1025.0,168.0,739.0,3711.0,0.9759269974045726
AQP6.rescaled,261.5,546.0,260.5,403.0,391.0,196.0,251.0,532.0,269.0,611.0,3721.0,0.9758608718652362
HOXC13.rescaled,17.0,25.0,16.0,13.5,5.5,1686.0,42.0,946.0,243.0,776.0,3770.0,0.9755368567224876
LRRC31.rescaled,133.5,116.5,260.5,161.5,165.0,1196.0,560.0,155.0,120.0,917.0,3785.0,0.975437668413483
