,accuracy_diff_4.pkl,accuracy_diff_5.pkl,accuracy_diff_1.pkl,accuracy_diff_2.pkl,accuracy_diff_3.pkl,r2_diff_2.pkl,r2_diff_3.pkl,r2_diff_1.pkl,r2_diff_4.pkl,r2_diff_5.pkl,rank_total,rank_fin
PTGFR.rescaled,248.0,1050.5,670.5,1559.5,1032.0,370.0,366.0,209.0,183.0,248.0,5936.5,0.9617916523030416
ABCA10.rescaled,321.5,427.0,331.5,332.5,350.0,902.0,929.0,1084.0,703.0,673.0,6053.5,0.9610160165468962
PCDHA5.rescaled,96.0,57.5,15.0,88.5,145.0,1353.0,1731.0,1094.0,495.0,1027.0,6102.0,0.9606944923231948
SERHL2.rescaled,321.5,182.5,175.5,134.5,97.0,1880.0,1214.0,986.0,869.0,292.0,6152.0,0.9603630240513378
PANX2.rescaled,923.0,1163.0,391.0,1174.5,745.0,318.0,352.0,274.0,583.0,250.0,6173.5,0.9602204926944392
MTRNR2L6.rescaled,1129.0,684.0,1876.0,1559.5,673.5,54.0,62.0,57.0,51.0,47.0,6193.0,0.9600912200684152
TMC5.rescaled,681.5,761.5,1033.5,1398.0,1122.0,234.0,203.0,151.0,480.0,180.0,6244.5,0.9597498077484024
NME5.rescaled,1244.0,427.0,1539.0,673.0,673.5,324.0,287.0,262.0,559.0,288.0,6276.5,0.959537668054414
WBP1.rescaled,114.0,182.5,85.0,56.0,350.0,1180.0,1670.0,1364.0,463.0,812.0,6276.5,0.959537668054414
KIF3C.rescaled,681.5,427.0,1274.5,425.5,542.5,462.0,678.0,755.0,459.0,658.0,6363.0,0.9589642279441012
HTR1B.rescaled,137.5,130.0,438.0,33.5,59.0,574.0,1216.0,1602.0,908.0,1337.0,6435.0,0.9584869136326272
IRX2.rescaled,681.5,130.0,548.0,332.5,177.5,472.0,749.0,1707.0,816.0,825.0,6438.5,0.958463710853597
MKI67.rescaled,1129.0,539.0,1539.0,425.5,1712.5,253.0,199.0,227.0,281.0,145.0,6450.0,0.95838747315107
NBPF4.rescaled,1530.0,332.5,670.5,1289.0,1906.5,244.0,29.0,377.0,90.0,9.0,6477.5,0.9582051656015488
C1QL1.rescaled,423.5,1289.0,1274.5,841.5,831.5,552.0,350.0,431.0,157.0,374.0,6524.0,0.9578969001087216
LGALS9B.rescaled,2092.5,939.5,438.0,841.5,1274.5,389.0,176.0,54.0,213.0,133.0,6551.0,0.9577179072419189
GJB5.rescaled,423.5,856.5,548.0,188.5,597.5,461.0,1119.0,835.0,1238.0,341.0,6608.0,0.9573400334120018
SLC25A28.rescaled,838.0,539.0,1539.0,1054.5,831.5,221.0,403.0,266.0,628.0,339.0,6659.0,0.9570019357747076
ANKRD30B.rescaled,838.0,856.5,1876.0,1054.5,542.5,103.0,112.0,299.0,452.0,542.0,6675.5,0.9568925512449948
RADIL.rescaled,536.5,1163.0,1130.5,1559.5,1906.5,110.0,119.0,32.0,52.0,67.0,6676.0,0.9568892365622764
TROAP.rescaled,838.0,1050.5,670.5,841.5,542.5,692.0,722.0,474.0,589.0,291.0,6711.0,0.9566572087719764
VMAC.rescaled,321.5,684.0,830.0,425.5,831.5,564.0,793.0,634.0,842.0,814.0,6739.5,0.956468271857018
CEACAM6.rescaled,162.5,10.0,1033.5,366.5,20.0,831.0,1071.0,2932.0,159.0,207.0,6792.5,0.9561169154888494
LAMC3.rescaled,1371.0,1905.0,932.5,947.0,1551.5,57.0,20.0,33.0,38.0,52.0,6907.0,0.9553578531462968
PCDHA9.rescaled,34.5,14.5,28.5,16.0,14.0,1033.0,1110.0,2136.0,973.0,1595.0,6954.5,0.9550429582880328
GPR152.rescaled,321.5,539.0,438.0,841.5,1274.5,683.0,729.0,779.0,543.0,806.0,6954.5,0.9550429582880328
ATP6V1B1.rescaled,1530.0,856.5,548.0,1289.0,1274.5,178.0,232.0,95.0,317.0,705.0,7025.0,0.9545755880247144
DPY19L2.rescaled,248.0,856.5,548.0,1054.5,277.5,754.0,509.0,1236.0,298.0,1247.0,7028.5,0.9545523852456844
LGR6.rescaled,1107.0,1050.5,331.5,2534.0,673.5,439.0,283.0,303.0,160.0,197.0,7078.5,0.9542209169738272
KCNC2.rescaled,2507.0,1050.5,1695.0,757.5,1032.0,9.0,18.0,5.0,12.0,19.0,7105.0,0.954045238789743
MCM2.rescaled,681.5,1574.5,438.0,1054.5,438.0,373.0,417.0,462.0,432.0,1244.0,7114.5,0.9539822598180904
FAM209A.rescaled,681.5,1050.5,670.5,425.5,1274.5,699.0,962.0,378.0,529.0,445.0,7115.5,0.9539756304526532
SERPINA5.rescaled,1384.0,2100.0,1140.5,1289.0,542.5,59.0,95.0,214.0,140.0,184.0,7148.0,0.953760176075946
FADS3.rescaled,1877.0,1050.5,670.5,673.0,438.0,611.0,610.0,502.0,340.0,377.0,7149.0,0.9537535467105088
NRTN.rescaled,1018.0,182.5,125.5,543.0,277.5,1109.0,674.0,787.0,1934.0,522.0,7172.5,0.953597756622736
TNFSF18.rescaled,1530.0,1050.5,1274.5,1289.0,1032.0,177.0,161.0,366.0,192.0,108.0,7180.0,0.9535480363819576
B3GALT5.rescaled,1530.0,684.0,241.5,1054.5,3650.5,12.0,7.0,4.0,8.0,3.0,7194.5,0.953451910583119
EGR4.rescaled,760.5,1163.0,1399.5,1699.0,2089.5,28.0,10.0,17.0,17.0,21.0,7204.5,0.9533856169287476
FHL2.rescaled,189.5,251.0,241.5,543.0,438.0,922.0,1703.0,1067.0,1188.0,695.0,7238.0,0.9531635331866034
HOXB6.rescaled,2507.0,775.5,1399.5,1162.0,1032.0,48.0,53.0,105.0,124.0,38.0,7244.0,0.9531237569939806
WNK4.rescaled,1356.0,1574.5,2315.0,841.5,597.5,133.0,79.0,121.0,184.0,79.0,7280.5,0.9528817851555248
MEGF10.rescaled,1384.0,1728.5,2079.0,947.0,919.0,44.0,35.0,43.0,57.0,85.0,7321.5,0.9526099811726022
GPR158.rescaled,536.5,1289.0,241.5,425.5,673.5,424.0,1741.0,325.0,252.0,1432.0,7340.0,0.9524873379120152
RFPL1.rescaled,423.5,1905.0,1130.5,2085.5,1032.0,155.0,191.0,278.0,114.0,164.0,7478.5,0.9515691707989712
IRX4.rescaled,1244.0,2859.5,1274.5,742.0,831.5,162.0,107.0,115.0,55.0,90.0,7480.5,0.9515559120680968
PBK.rescaled,1018.0,539.0,670.5,673.0,542.5,822.0,851.0,685.0,683.0,1032.0,7516.0,0.9513205695950784
MMP25.rescaled,2060.0,1574.5,1539.0,1174.5,673.5,122.0,61.0,138.0,93.0,116.0,7551.5,0.95108522712206
KIF18B.rescaled,423.5,427.0,670.5,1054.5,1274.5,980.0,493.0,861.0,854.0,521.0,7559.0,0.9510355068812814
DAXX.rescaled,248.0,130.0,438.0,673.0,277.5,601.0,1319.0,994.0,853.0,2102.0,7635.5,0.95052836042534
WWC1.rescaled,137.5,31.5,15.0,16.0,59.0,1685.0,1127.0,1676.0,1735.0,1154.0,7636.0,0.9505250457426216
SERPINA3.rescaled,1530.0,1289.0,2315.0,1054.5,831.5,72.0,167.0,143.0,107.0,127.0,7636.0,0.9505250457426216
ARHGAP11A.rescaled,248.0,539.0,548.0,841.5,542.5,938.0,2215.0,843.0,414.0,509.0,7638.0,0.9505117870117472
PFKM.rescaled,536.5,251.0,438.0,673.0,277.5,881.0,795.0,1360.0,648.0,1858.0,7718.0,0.949981437776776
BRSK2.rescaled,2073.5,954.0,830.0,1054.5,2579.0,35.0,76.0,30.0,65.0,57.0,7754.0,0.949742780621039
ORM1.rescaled,160.0,251.0,548.0,603.5,487.0,995.0,967.0,1761.0,413.0,1640.0,7825.5,0.9492687809922834
PTPRN.rescaled,1018.0,1905.0,830.0,841.5,831.5,413.0,524.0,341.0,514.0,640.0,7858.0,0.9490533266155764
ACMSD.rescaled,1670.5,1289.0,1130.5,1396.5,831.5,500.0,224.0,319.0,268.0,253.0,7882.0,0.948894221845085
LZTS2.rescaled,248.0,427.0,438.0,188.5,97.0,1428.0,986.0,1538.0,881.0,1690.0,7921.5,0.948632361910318
EFHC2.rescaled,591.0,211.0,1140.5,1706.0,597.5,776.0,1312.0,901.0,390.0,350.0,7975.0,0.9482776908594308
RGS8.rescaled,681.5,684.0,438.0,543.0,831.5,1177.0,757.0,1015.0,709.0,1209.0,8045.0,0.9478136352788312
SLC13A4.rescaled,248.0,684.0,331.5,332.5,277.5,1342.0,1290.0,1175.0,1065.0,1324.0,8069.5,0.9476512158256212
UQCRC2.rescaled,681.5,1574.5,830.0,425.5,1906.5,402.0,624.0,585.0,506.0,548.0,8083.0,0.9475617193922198
IL13RA2.rescaled,1018.0,539.0,1539.0,2875.0,542.5,309.0,435.0,259.0,342.0,243.0,8101.5,0.9474390761316328
CPNE7.rescaled,536.5,1050.5,830.0,543.0,1274.5,1602.0,886.0,690.0,214.0,507.0,8133.5,0.9472269364376442
KIF5C.rescaled,321.5,1050.5,272.0,3174.5,79.0,2264.0,260.0,249.0,172.0,335.0,8177.5,0.94693524435841
EPB41L4B.rescaled,838.0,856.5,830.0,1559.5,831.5,567.0,934.0,684.0,605.0,506.0,8211.5,0.9467098459335472
DLX3.rescaled,1244.0,1905.0,1274.5,1559.5,673.5,226.0,242.0,484.0,370.0,284.0,8262.5,0.946371748296253
DSCC1.rescaled,1244.0,684.0,438.0,1888.0,1274.5,537.0,400.0,522.0,680.0,606.0,8273.5,0.9462988252764444
USP44.rescaled,681.5,332.5,548.0,332.5,213.0,1052.0,1188.0,718.0,1927.0,1285.0,8277.5,0.946272307814696
NUSAP1.rescaled,681.5,856.5,241.5,253.5,1274.5,900.0,1079.0,709.0,1232.0,1143.0,8370.5,0.945655776829042
HOXA2.rescaled,423.5,1289.0,1033.5,1054.5,1274.5,892.0,482.0,748.0,805.0,375.0,8377.0,0.9456126859537004
CDH7.rescaled,1698.5,684.0,241.5,253.5,145.0,954.0,658.0,1021.0,1812.0,955.0,8422.5,0.9453110498263106
EDNRB.rescaled,838.0,1289.0,1274.5,1888.0,1032.0,584.0,478.0,297.0,369.0,409.0,8458.5,0.9450723926705736
STX1B.rescaled,61.5,57.5,28.5,134.5,145.0,1199.0,1894.0,1063.0,1337.0,2550.0,8470.0,0.9449961549680465
C3orf52.rescaled,1018.0,954.0,1416.5,2085.5,2343.5,274.0,113.0,127.0,94.0,225.0,8650.5,0.9437995545066428
C4orf47.rescaled,1530.0,2100.0,932.5,1289.0,1395.0,173.0,244.0,477.0,218.0,317.0,8675.5,0.943633820370714
CXCL2.rescaled,1877.0,1574.5,1274.5,1888.0,1274.5,113.0,241.0,169.0,132.0,135.0,8678.5,0.9436139322744028
