	SHAP Value
ECE2.rescaled	0.0005685921080146309
ENTPD5.rescaled	-0.0005685856860353826
FCGR3A.rescaled	0.0005683201848132931
CIDEA.rescaled	-0.00056780504158001
TBC1D9.rescaled	-0.0005669242406718697
DIXDC1.rescaled	-0.0005668812475844235
DST.rescaled	-0.0005663328302164997
STON2.rescaled	-0.0005662553573222697
FPR3.rescaled	0.0005660151766210612
NEIL1.rescaled	-0.0005657040019975953
PCK1.rescaled	-0.00056569389280313
TPRG1.rescaled	-0.0005651723990116919
SLC39A6.rescaled	-0.0005650264769230032
EFCAB6.rescaled	-0.0005642199275248261
TSLP.rescaled	-0.0005639425777619637
ALDH1A2.rescaled	-0.0005634576867573048
SLC24A1.rescaled	-0.000562413201615121
CNTNAP3B.rescaled	-0.0005622351701041666
TACR1.rescaled	-0.000562034689090037
KIFC1.rescaled	0.0005617841213000072
SPC24.rescaled	0.0005614514096690683
DOK3.rescaled	0.0005605389730719356
FBXO36.rescaled	-0.0005597577545925817
AK7.rescaled	-0.0005596480917958266
CDKN3.rescaled	0.00055919866126187
UBE2C.rescaled	0.0005591772015438908
SCN2B.rescaled	-0.0005589473558301237
CKAP2L.rescaled	0.0005589039111483894
CCDC160.rescaled	-0.0005581284057068022
NUSAP1.rescaled	0.0005576043756753126
AR.rescaled	-0.000557571568315723
CCL7.rescaled	0.0005574299320252024
APOBEC3A.rescaled	0.0005573395850794272
MEOX1.rescaled	-0.0005571615278320198
ECE1.rescaled	-0.0005567641312012434
HEPACAM2.rescaled	-0.0005558467720908963
DEPDC1.rescaled	0.0005558195289379529
APH1B.rescaled	-0.0005556761011937197
RAMP2.rescaled	-0.0005547819403112314
TSPAN7.rescaled	-0.0005546218418450828
GIPC2.rescaled	-0.0005543763035006329
C9orf152.rescaled	-0.0005540334526822243
ZFP2.rescaled	-0.0005536446449191363
SHC2.rescaled	-0.0005533375335500699
VAMP2.rescaled	-0.0005532984535505059
RAD51AP1.rescaled	0.0005531918405129026
HMMR.rescaled	0.0005529462213356269
MORN1.rescaled	-0.0005528844078681452
ZCCHC24.rescaled	-0.0005527178829018165
CACNA1G.rescaled	-0.000552521130829666
OGN.rescaled	-0.000552475081864924
CATSPERG.rescaled	-0.000552178748537415
LAMA3.rescaled	-0.0005511536363811945
PIF1.rescaled	0.0005503207034524724
IGSF10.rescaled	-0.000550113935215703
SCN4B.rescaled	-0.000550075500265883
MKI67.rescaled	0.0005500632996553993
TIMP4.rescaled	-0.0005495214971819273
TAP1.rescaled	0.0005494954558107274
ZFYVE1.rescaled	-0.0005494133054048788
FAM72B.rescaled	0.0005493712627311326
MYL7.rescaled	-0.0005492944891749261
MMP12.rescaled	0.0005487450557519648
GTSE1.rescaled	0.0005487133563844255
ANGPT4.rescaled	-0.0005486072437992152
RUNDC1.rescaled	-0.0005485050427243852
BTNL9.rescaled	-0.0005479111978995563
NPY2R.rescaled	-0.0005475799067253209
CDO1.rescaled	-0.0005473712836586854
GPRASP1.rescaled	-0.0005472985355015277
KAAG1.rescaled	-0.0005466033515497395
TTC28.rescaled	-0.000545534223078826
PI15.rescaled	-0.000545101719735789
GPD1.rescaled	-0.0005446122512698412
FANK1.rescaled	-0.0005445760683033927
DCDC2.rescaled	-0.0005445520655234716
CELSR2.rescaled	-0.0005444113076572554
EDN3.rescaled	-0.0005438636814503526
LEP.rescaled	-0.0005435689287946596
CYBRD1.rescaled	-0.0005431940200176087
CMYA5.rescaled	-0.0005431358462593161
ERCC6L.rescaled	0.0005428887098494313
FRMPD2.rescaled	-0.0005427601990933807
