	ALE Value
NPR3.rescaled	9.173095e-09
P4HB.rescaled	9.171e-09
FADD.rescaled	9.161193e-09
PGR.rescaled	9.150666e-09
PRSS21.rescaled	9.124825e-09
TMEM151A.rescaled	9.121353e-09
FCN2.rescaled	9.119433e-09
ATP13A4.rescaled	9.11844e-09
DCX.rescaled	9.109905e-09
TMPRSS2.rescaled	9.067874e-09
IL20RA.rescaled	9.067641e-09
HYAL2.rescaled	9.064685e-09
OAS3.rescaled	9.052496e-09
FAM25A.rescaled	9.050555e-09
F7.rescaled	9.0382155e-09
AMPD1.rescaled	9.011683e-09
PEX5L.rescaled	8.992317e-09
NPM1.rescaled	8.989358e-09
FOXN4.rescaled	8.988478e-09
TRPV6.rescaled	8.979371e-09
KIRREL2.rescaled	8.972442e-09
KLK10.rescaled	8.955896e-09
LHFPL5.rescaled	8.951918e-09
ANO5.rescaled	8.938852e-09
MYO3B.rescaled	8.937393e-09
ACOT6.rescaled	8.928555e-09
OSM.rescaled	8.917422e-09
CCL4L2.rescaled	8.9121635e-09
PIEZO2.rescaled	8.909386e-09
ELOVL2.rescaled	8.9006535e-09
CACNA1H.rescaled	8.897569e-09
MYZAP.rescaled	8.865959e-09
EPHA8.rescaled	8.865709e-09
GLYAT.rescaled	8.864704e-09
RPL30.rescaled	8.862903e-09
OR2W3.rescaled	8.855365e-09
ACTL8.rescaled	8.851469e-09
GSTM3.rescaled	8.84887e-09
EIF3E.rescaled	8.83165e-09
JRK.rescaled	8.831328e-09
PEBP4.rescaled	8.829481e-09
THSD7B.rescaled	8.827458e-09
GATA5.rescaled	8.826184e-09
TESK2.rescaled	8.820388e-09
WDR6.rescaled	8.817606e-09
ASCL1.rescaled	8.81055e-09
DAGLB.rescaled	8.806732e-09
ZBTB7C.rescaled	8.801525e-09
DACH1.rescaled	8.79743e-09
SAMD13.rescaled	8.786263e-09
HS6ST2.rescaled	8.783215e-09
YWHAZ.rescaled	8.782033e-09
CCL8.rescaled	8.772016e-09
PRRT3.rescaled	8.769048e-09
EGR4.rescaled	8.768681e-09
AGTR1.rescaled	8.761785e-09
PIP5K1B.rescaled	8.755258e-09
SLCO4A1.rescaled	8.735527e-09
NTN1.rescaled	8.7276675e-09
HOGA1.rescaled	8.725048e-09
FLT3.rescaled	8.712383e-09
SYT12.rescaled	8.712286e-09
KAZALD1.rescaled	8.70554e-09
NLRP2.rescaled	8.696617e-09
WNT7B.rescaled	8.695404e-09
PLCH1.rescaled	8.695013e-09
POTEE.rescaled	8.694893e-09
ALDH1L1.rescaled	8.690789e-09
PCSK9.rescaled	8.690487e-09
EEF1A2.rescaled	8.68594e-09
IGSF9B.rescaled	8.683912e-09
MSMB.rescaled	8.680541e-09
PLEKHG4B.rescaled	8.67364e-09
MXI1.rescaled	8.671998e-09
DMRTA1.rescaled	8.666324e-09
NUDT15.rescaled	8.665498e-09
SNAP25.rescaled	8.652973e-09
CCDC87.rescaled	8.6493e-09
BCAS1.rescaled	8.648332e-09
SLAMF9.rescaled	8.627938e-09
CPA6.rescaled	8.61367e-09
TRIM25.rescaled	8.610053e-09
SCGB3A1.rescaled	8.595546e-09
RBP4.rescaled	8.5853875e-09
KIF5C.rescaled	8.580651e-09
BSN.rescaled	8.566977e-09
GP2.rescaled	8.557714e-09
RNF165.rescaled	8.542329e-09
ARHGAP36.rescaled	8.541193e-09
KIAA0319.rescaled	8.538736e-09
CLEC10A.rescaled	8.529138e-09
