	ALE Value
CCIN.rescaled	7.0729644e-09
CYP2A6.rescaled	7.0458372e-09
ASF1B.rescaled	7.0407675e-09
TM4SF1.rescaled	7.025087e-09
NCCRP1.rescaled	7.0179427e-09
NMU.rescaled	7.0118094e-09
IL17D.rescaled	6.9770913e-09
MAPK15.rescaled	6.934487e-09
BEX1.rescaled	6.929116e-09
PITX1.rescaled	6.9281283e-09
TMPO.rescaled	6.8842287e-09
ABTB2.rescaled	6.8807635e-09
BAG1.rescaled	6.8611747e-09
SMYD2.rescaled	6.8185684e-09
SERPINA6.rescaled	6.8166126e-09
TFB2M.rescaled	6.8045587e-09
FAM209B.rescaled	6.798107e-09
CEACAM5.rescaled	6.7954655e-09
ZMAT1.rescaled	6.7738175e-09
GNG13.rescaled	6.771747e-09
MELK.rescaled	6.762826e-09
PTPMT1.rescaled	6.732e-09
BAMBI.rescaled	6.6979298e-09
GPATCH3.rescaled	6.6912276e-09
RAI2.rescaled	6.686769e-09
COL22A1.rescaled	6.666872e-09
EZH2.rescaled	6.6537793e-09
CDT1.rescaled	6.6530377e-09
MMEL1.rescaled	6.6435972e-09
MAP6D1.rescaled	6.638949e-09
TRAIP.rescaled	6.637733e-09
GAS2L3.rescaled	6.6316015e-09
ASB1.rescaled	6.6290524e-09
ZNF469.rescaled	6.5805117e-09
RNF212.rescaled	6.5785257e-09
AGBL4.rescaled	6.5567654e-09
RER1.rescaled	6.554906e-09
IL20RA.rescaled	6.5453705e-09
CDC45.rescaled	6.519766e-09
COASY.rescaled	6.50696e-09
MMP11.rescaled	6.4826913e-09
TMEM87A.rescaled	6.466281e-09
RAB6C.rescaled	6.441936e-09
CCDC150.rescaled	6.4376207e-09
DMC1.rescaled	6.430242e-09
GEN1.rescaled	6.421856e-09
MRAP.rescaled	6.4198407e-09
SIGLEC1.rescaled	6.4165224e-09
PYCR2.rescaled	6.399838e-09
MAP2K6.rescaled	6.3900836e-09
ECT2.rescaled	6.384782e-09
IL22RA2.rescaled	6.370479e-09
PLIN1.rescaled	6.3617054e-09
PSKH1.rescaled	6.356011e-09
VSIG4.rescaled	6.335042e-09
POF1B.rescaled	6.3340564e-09
SH3BP5L.rescaled	6.332829e-09
E2F8.rescaled	6.3261147e-09
CEACAM6.rescaled	6.3256684e-09
AK3.rescaled	6.32417e-09
ZNF397.rescaled	6.3241257e-09
S100A7A.rescaled	6.2971823e-09
LEKR1.rescaled	6.2815833e-09
PRR11.rescaled	6.272691e-09
IDH3G.rescaled	6.2485603e-09
ANLN.rescaled	6.2295067e-09
TCL1B.rescaled	6.229195e-09
COG7.rescaled	6.2284355e-09
TMC3.rescaled	6.2214327e-09
MAPKAPK2.rescaled	6.213567e-09
JAKMIP1.rescaled	6.212059e-09
ADAMTS18.rescaled	6.2080763e-09
RDM1.rescaled	6.2041923e-09
ZDHHC16.rescaled	6.186348e-09
EIF3E.rescaled	6.185604e-09
ZNF425.rescaled	6.1848504e-09
STC2.rescaled	6.1819074e-09
TKT.rescaled	6.175857e-09
EMD.rescaled	6.1696945e-09
HMGCL.rescaled	6.153036e-09
RNF2.rescaled	6.1445062e-09
FAM3A.rescaled	6.1240666e-09
