	ALE Value
CDK1.rescaled	2.1043989e-09
LYST.rescaled	2.1039663e-09
ZMAT4.rescaled	2.101575e-09
KDM4A.rescaled	2.0923654e-09
GDI1.rescaled	2.0865283e-09
MAP6D1.rescaled	2.0861526e-09
IGSF22.rescaled	2.0853486e-09
TCEAL5.rescaled	2.0798763e-09
THSD7B.rescaled	2.0783595e-09
TPGS2.rescaled	2.0751116e-09
TM6SF2.rescaled	2.073247e-09
CXCL13.rescaled	2.0716189e-09
PP2D1.rescaled	2.069816e-09
KRT6B.rescaled	2.0663207e-09
SLC6A2.rescaled	2.0621767e-09
TLX1.rescaled	2.0584507e-09
NBEA.rescaled	2.0550965e-09
SIGLEC1.rescaled	2.0549755e-09
ZNF853.rescaled	2.0531543e-09
ASNS.rescaled	2.053086e-09
CD209.rescaled	2.0494662e-09
SOX2.rescaled	2.0483233e-09
MMP24.rescaled	2.0453428e-09
GREB1L.rescaled	2.0450472e-09
SLC16A6.rescaled	2.0448616e-09
CPA4.rescaled	2.0436501e-09
CYP2A7.rescaled	2.0338167e-09
PABPC1.rescaled	2.0282336e-09
CYP26A1.rescaled	2.0248647e-09
CSMD1.rescaled	2.0139161e-09
PDZD4.rescaled	2.0105084e-09
SEC14L4.rescaled	2.008717e-09
HIGD2A.rescaled	2.004104e-09
PRIM1.rescaled	2.0034914e-09
FCGBP.rescaled	1.9995936e-09
CLP1.rescaled	1.9987403e-09
AGBL4.rescaled	1.9983273e-09
MICB.rescaled	1.9938544e-09
SLAIN1.rescaled	1.9837791e-09
SHROOM1.rescaled	1.9736854e-09
APC.rescaled	1.9731976e-09
MYOZ1.rescaled	1.972404e-09
EARS2.rescaled	1.970545e-09
CREB3L1.rescaled	1.9705146e-09
NEK2.rescaled	1.9664848e-09
IL17D.rescaled	1.966162e-09
RBM41.rescaled	1.9598458e-09
CXCL17.rescaled	1.9557116e-09
SLC1A1.rescaled	1.9473227e-09
UNC119B.rescaled	1.9420539e-09
TRAIP.rescaled	1.9403312e-09
NFASC.rescaled	1.935294e-09
HARBI1.rescaled	1.934848e-09
HAMP.rescaled	1.93109e-09
PLCB4.rescaled	1.930228e-09
BAMBI.rescaled	1.928875e-09
GP5.rescaled	1.9275934e-09
IGDCC4.rescaled	1.925593e-09
UGT2B10.rescaled	1.9188091e-09
FOXD4.rescaled	1.9183066e-09
C15orf40.rescaled	1.9162687e-09
TOR3A.rescaled	1.9156416e-09
HOXB5.rescaled	1.9138067e-09
XKRX.rescaled	1.9136936e-09
ZNF638.rescaled	1.9131121e-09
HMGCL.rescaled	1.9049884e-09
B3GALT6.rescaled	1.9049133e-09
APOBEC3B.rescaled	1.9049016e-09
HSD11B1L.rescaled	1.9011708e-09
AK3.rescaled	1.8954323e-09
SMC2.rescaled	1.8920523e-09
CEACAM5.rescaled	1.892009e-09
KIF23.rescaled	1.8906374e-09
VWDE.rescaled	1.888019e-09
GAS2L3.rescaled	1.885186e-09
PPM1K.rescaled	1.8844666e-09
SYT3.rescaled	1.8807005e-09
TSNAX.rescaled	1.8785866e-09
CCL19.rescaled	1.8744695e-09
E2F8.rescaled	1.872015e-09
SLC9A2.rescaled	1.870089e-09
KNTC1.rescaled	1.87005e-09
ECT2.rescaled	1.868489e-09
CAMP.rescaled	1.8621098e-09
PHGDH.rescaled	1.8600397e-09
TCL1B.rescaled	1.8589855e-09
PSEN2.rescaled	1.853516e-09
SDK1.rescaled	1.8396642e-09
EML5.rescaled	1.8371822e-09
PPP1R36.rescaled	1.8341695e-09
WNT7B.rescaled	1.8335715e-09
SLC25A14.rescaled	1.8325343e-09
RGS17.rescaled	1.8297033e-09
EXO1.rescaled	1.8293143e-09
RAI2.rescaled	1.8270077e-09
TMPRSS11E.rescaled	1.826693e-09
CCIN.rescaled	1.8256715e-09
GINS1.rescaled	1.8256265e-09
MELK.rescaled	1.8248918e-09
CBX2.rescaled	1.823544e-09
SPAG6.rescaled	1.82321e-09
ASF1B.rescaled	1.8218572e-09
POLR3E.rescaled	1.8213783e-09
GATA5.rescaled	1.8213471e-09
STOML1.rescaled	1.8202304e-09
CSDC2.rescaled	1.813345e-09
RUNDC1.rescaled	1.8127745e-09
TADA2A.rescaled	1.81152e-09
POC1A.rescaled	1.8089787e-09
ZNF669.rescaled	1.8088286e-09
PRKAA2.rescaled	1.803381e-09
ORM2.rescaled	1.7984944e-09
SLC13A2.rescaled	1.7959183e-09
RAB20.rescaled	1.787399e-09
MCM2.rescaled	1.7865176e-09
CYFIP2.rescaled	1.7853619e-09
OSBPL6.rescaled	1.7827023e-09
GINS2.rescaled	1.7826355e-09
GP2.rescaled	1.7808354e-09
LIG1.rescaled	1.7796656e-09
TET1.rescaled	1.7789108e-09
MED19.rescaled	1.7716784e-09
TMPO.rescaled	1.771411e-09
LEFTY2.rescaled	1.7702038e-09
MND1.rescaled	1.7701797e-09
KREMEN2.rescaled	1.7631837e-09
PLXNA3.rescaled	1.7541962e-09
ZWINT.rescaled	1.7536621e-09
SYT9.rescaled	1.7500709e-09
SLC5A8.rescaled	1.7462217e-09
KCNS2.rescaled	1.7430076e-09
OLAH.rescaled	1.7386561e-09
SLC25A15.rescaled	1.7375827e-09
GPSM2.rescaled	1.7347038e-09
RGS6.rescaled	1.7314695e-09
HS6ST2.rescaled	1.7286661e-09
HNRNPR.rescaled	1.7199996e-09
HSPB1.rescaled	1.719092e-09
MMEL1.rescaled	1.7179729e-09
MAT1A.rescaled	1.7155043e-09
SLC22A31.rescaled	1.711584e-09
IQCA1.rescaled	1.7106404e-09
HOXB4.rescaled	1.7080921e-09
HSP90B1.rescaled	1.7079138e-09
COASY.rescaled	1.7059479e-09
SP5.rescaled	1.7045294e-09
BEX5.rescaled	1.7025725e-09
SLC5A1.rescaled	1.7017412e-09
ELOVL2.rescaled	1.6965856e-09
NEK10.rescaled	1.6935586e-09
HINT1.rescaled	1.6930269e-09
FAM178B.rescaled	1.6890839e-09
TUBA1B.rescaled	1.6876628e-09
NMUR1.rescaled	1.6861432e-09
HOXB3.rescaled	1.6831385e-09
TPRG1.rescaled	1.6831107e-09
TOLLIP.rescaled	1.6813165e-09
MMP11.rescaled	1.6779428e-09
RFK.rescaled	1.6764237e-09
CDC45.rescaled	1.6751629e-09
TM4SF1.rescaled	1.6736613e-09
CAPSL.rescaled	1.6729663e-09
DTL.rescaled	1.6724894e-09
ZIC2.rescaled	1.6706723e-09
DUSP9.rescaled	1.6702632e-09
MMP25.rescaled	1.6698565e-09
STC2.rescaled	1.6664824e-09
ABCD4.rescaled	1.6661004e-09
PRR11.rescaled	1.6635731e-09
GPR82.rescaled	1.6606982e-09
CD14.rescaled	1.659819e-09
EIF3E.rescaled	1.658681e-09
RAET1L.rescaled	1.6559261e-09
SMC4.rescaled	1.6516186e-09
PENK.rescaled	1.6507284e-09
GPR158.rescaled	1.6477162e-09
ZSCAN1.rescaled	1.6439962e-09
KCNS1.rescaled	1.6434766e-09
GPR34.rescaled	1.6406795e-09
KIF21A.rescaled	1.6387396e-09
OPRD1.rescaled	1.6382131e-09
VEPH1.rescaled	1.6338992e-09
KCNG1.rescaled	1.631973e-09
LAGE3.rescaled	1.6308938e-09
FCGR2A.rescaled	1.6270169e-09
HOMER2.rescaled	1.6262176e-09
NTN1.rescaled	1.6247561e-09
LRAT.rescaled	1.6246765e-09
GPR160.rescaled	1.6189589e-09
ZNF397.rescaled	1.6182394e-09
MAFA.rescaled	1.6165271e-09
FBXO43.rescaled	1.6160099e-09
NUP62CL.rescaled	1.6148015e-09
TMC3.rescaled	1.6129527e-09
TTLL5.rescaled	1.6060546e-09
HSFX2.rescaled	1.6049608e-09
HSD17B1.rescaled	1.6042839e-09
CNTNAP2.rescaled	1.6040206e-09
ABHD1.rescaled	1.6031224e-09
PTP4A2.rescaled	1.6006728e-09
PAQR5.rescaled	1.5998147e-09
BRWD3.rescaled	1.5997125e-09
CDC42.rescaled	1.5990116e-09
COMMD1.rescaled	1.598018e-09
MS4A6E.rescaled	1.594563e-09
PAX9.rescaled	1.5848598e-09
UTP14A.rescaled	1.5837027e-09
PDF.rescaled	1.5788547e-09
STAB1.rescaled	1.5785505e-09
PLA2G1B.rescaled	1.5774682e-09
CXCR4.rescaled	1.5755417e-09
CHST9.rescaled	1.5667497e-09
ACBD3.rescaled	1.5584551e-09
SRD5A2.rescaled	1.557642e-09
ARSH.rescaled	1.557443e-09
ZMYM5.rescaled	1.5555598e-09
DNAH12.rescaled	1.5552036e-09
H6PD.rescaled	1.5518596e-09
SNTG2.rescaled	1.5487627e-09
ACOT1.rescaled	1.5456765e-09
SLC27A2.rescaled	1.5393015e-09
C1QC.rescaled	1.5370617e-09
TFB2M.rescaled	1.5347381e-09
KRT6A.rescaled	1.5346832e-09
GRM4.rescaled	1.5325584e-09
DDX28.rescaled	1.5292911e-09
FAM83B.rescaled	1.5285505e-09
CELF1.rescaled	1.5277247e-09
FOLR2.rescaled	1.5247148e-09
LILRB5.rescaled	1.5231987e-09
COL22A1.rescaled	1.5193548e-09
MTRNR2L3.rescaled	1.5175988e-09
KIF1A.rescaled	1.516958e-09
DHRS11.rescaled	1.5156691e-09
FUT2.rescaled	1.5144609e-09
NDRG3.rescaled	1.5140135e-09
LY6G6C.rescaled	1.5130315e-09
SCHIP1.rescaled	1.513003e-09
ANLN.rescaled	1.5119522e-09
DHDDS.rescaled	1.511887e-09
BIRC5.rescaled	1.5089958e-09
BCAP31.rescaled	1.5079824e-09
SLC30A2.rescaled	1.5073878e-09
ABAT.rescaled	1.5064845e-09
CDT1.rescaled	1.5033137e-09
SCUBE1.rescaled	1.5021585e-09
KPNA2.rescaled	1.5015506e-09
PATE2.rescaled	1.5012009e-09
ZNF90.rescaled	1.5002983e-09
ZNF485.rescaled	1.4978279e-09
CPA6.rescaled	1.4973646e-09
SLC25A22.rescaled	1.4930808e-09
ABHD5.rescaled	1.4921621e-09
GFRAL.rescaled	1.4904268e-09
SULT1A2.rescaled	1.4834958e-09
PRPF4B.rescaled	1.4737691e-09
RNF2.rescaled	1.4680107e-09
HECW2.rescaled	1.4664263e-09
MKX.rescaled	1.4657338e-09
IYD.rescaled	1.463895e-09
LIN7A.rescaled	1.4602282e-09
IRAK2.rescaled	1.4597545e-09
STIL.rescaled	1.4594873e-09
ZDHHC4.rescaled	1.4587891e-09
SPTBN5.rescaled	1.4577776e-09
NIP7.rescaled	1.4575872e-09
MAP7D2.rescaled	1.4548176e-09
IFI6.rescaled	1.454153e-09
ENTPD5.rescaled	1.4528374e-09
SYNC.rescaled	1.4494502e-09
ZNF843.rescaled	1.4484427e-09
EFCAB6.rescaled	1.4433205e-09
RBP2.rescaled	1.4428083e-09
MRPL37.rescaled	1.4379007e-09
MRPS31.rescaled	1.4371695e-09
PDP2.rescaled	1.4349595e-09
CCDC93.rescaled	1.43475e-09
RFXAP.rescaled	1.4333884e-09
EPO.rescaled	1.4327629e-09
HTATSF1.rescaled	1.4319717e-09
COX17.rescaled	1.4316275e-09
PIK3R3.rescaled	1.4303652e-09
COL4A5.rescaled	1.4300896e-09
CHTF18.rescaled	1.4281072e-09
VTCN1.rescaled	1.4273387e-09
ZNF425.rescaled	1.4265388e-09
CROCC.rescaled	1.4264998e-09
NDP.rescaled	1.4248598e-09
UBE2T.rescaled	1.4247006e-09
CXCL14.rescaled	1.4235503e-09
BET1L.rescaled	1.4233901e-09
CAPN8.rescaled	1.4221236e-09
UFSP1.rescaled	1.4219388e-09
PLAC1.rescaled	1.4203546e-09
FIBCD1.rescaled	1.4191314e-09
CDKN1B.rescaled	1.414687e-09
RASL10A.rescaled	1.4142567e-09
MYO3B.rescaled	1.4122489e-09
LFNG.rescaled	1.4114854e-09
CLU.rescaled	1.4104928e-09
ORM1.rescaled	1.4089466e-09
CAPS.rescaled	1.4087872e-09
MYT1.rescaled	1.4085559e-09
MAP2K6.rescaled	1.4082603e-09
NBPF6.rescaled	1.4078702e-09
C1QB.rescaled	1.4076149e-09
HSPB9.rescaled	1.4054713e-09
SAMD13.rescaled	1.4052036e-09
DMBX1.rescaled	1.4004956e-09
HMHB1.rescaled	1.4001625e-09
KRT16.rescaled	1.3961895e-09
GSDMC.rescaled	1.395286e-09
OR2A7.rescaled	1.3908179e-09
MCM4.rescaled	1.3886572e-09
CCR8.rescaled	1.3885286e-09
INO80C.rescaled	1.3879249e-09
GATA1.rescaled	1.3853135e-09
CDC25B.rescaled	1.3843732e-09
FAIM2.rescaled	1.3830758e-09
TMEM87A.rescaled	1.3827629e-09
CDC6.rescaled	1.376998e-09
RAB3B.rescaled	1.3766946e-09
SRP9.rescaled	1.3739625e-09
IRX6.rescaled	1.3722813e-09
IFT122.rescaled	1.3713282e-09
LRRIQ4.rescaled	1.3706228e-09
CDC27.rescaled	1.3699476e-09
TNMD.rescaled	1.3682085e-09
AMTN.rescaled	1.3660358e-09
SVEP1.rescaled	1.3643131e-09
SLURP1.rescaled	1.3632586e-09
SLC10A3.rescaled	1.3631868e-09
PODXL2.rescaled	1.3623739e-09
MED18.rescaled	1.3622782e-09
GOLT1A.rescaled	1.3592323e-09
ADAMTS12.rescaled	1.3577086e-09
CHIT1.rescaled	1.3575711e-09
MAPKAPK2.rescaled	1.3575537e-09
HOXB2.rescaled	1.3557381e-09
FAM209B.rescaled	1.3549882e-09
SNX33.rescaled	1.3529369e-09
MAGEA3.rescaled	1.3518575e-09
UBL4A.rescaled	1.3507476e-09
CCNJ.rescaled	1.3505205e-09
UCK2.rescaled	1.3469995e-09
ALG1L.rescaled	1.3466245e-09
ATRX.rescaled	1.3448855e-09
CMBL.rescaled	1.343915e-09
KIF24.rescaled	1.3425245e-09
ZCCHC18.rescaled	1.3418819e-09
RNF150.rescaled	1.3398436e-09
NR6A1.rescaled	1.3363011e-09
NDUFS6.rescaled	1.3293209e-09
BIVM.rescaled	1.326937e-09
DDIT4.rescaled	1.3265357e-09
DNMT3B.rescaled	1.3255453e-09
PSCA.rescaled	1.3233491e-09
ATG4A.rescaled	1.3166781e-09
SPESP1.rescaled	1.3153122e-09
RING1.rescaled	1.3150893e-09
RABGGTA.rescaled	1.311901e-09
GLP1R.rescaled	1.3116948e-09
SRSF4.rescaled	1.311106e-09
MMP1.rescaled	1.3096091e-09
PCYOX1L.rescaled	1.3082251e-09
PER1.rescaled	1.3045156e-09
SKA3.rescaled	1.3012043e-09
BEX1.rescaled	1.3009521e-09
PRRT3.rescaled	1.2990666e-09
ARL10.rescaled	1.2987201e-09
